This file was created by CMPT_ME_BEME_RETS_DAILY using the 201911 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,,,,,,,,,,,,,,,,,,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RF,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
19990302,-0.69,0.09,0.48,0.018,0.18,-1.01,-0.05,0.1,-1.23,-0.27,-0.08,0.46,-0.14,-1.14,-1.39,-0.25,-0.32,-0.25,0.12,0.39,0.57,-0.38,0.27
19990303,0.01,-0.62,0.11,0.018,0.21,0.15,-0.14,-0.26,0.21,-0.11,0.05,-0.33,-0.4,-0.1,0.83,-0.08,-0.19,0.11,-0.02,-0.52,0.01,-0.47,-0.27
19990304,1.34,-1.03,-0.31,0.018,1.27,1.35,1.49,0.89,1.3,1.72,1.4,0.56,1.23,1.62,0.68,1.51,2.16,1.21,1.62,0.76,0.22,0.81,1.98
19990305,2.04,-1.25,-0.47,0.018,2.09,2.24,1.68,1.47,2.2,2.19,1.71,1.16,1.87,2.17,2.27,2.38,1.79,1.62,1.82,1.43,0.68,1.63,2.3
19990308,0.66,-0.08,-0.94,0.018,0.53,0.91,0.2,-0.34,1.06,0.42,0.21,-0.14,-0.56,1.18,0.83,0.37,0.51,0.41,0,-0.27,0.09,-0.41,-0.82
19990309,-0.23,0.15,-0.24,0.018,-1.66,-0.2,-0.17,-0.63,-0.04,-0.61,-0.12,-0.26,-0.66,0.09,-0.32,-0.76,-0.3,-0.24,0.01,-0.1,-0.55,-1.22,0.3
19990310,0.52,0.04,-0.31,0.018,0.04,0.29,1.07,0.2,0.15,0.89,1.22,0.48,0.22,-0.07,0.6,0.78,1.1,1.35,1.06,0.66,0.17,0.22,0.22
19990311,0.73,-0.75,0.04,0.018,1.3,0.87,0.54,0.62,0.89,0.65,0.64,0.51,0.75,0.84,1,0.79,0.35,0.69,0.58,0.6,0.35,0.73,0.79
19990312,-0.32,-0.44,0.72,0.018,-0.27,-0.44,-0.14,0.41,-0.45,-0.53,-0.34,1.03,0.33,-0.48,-0.39,-0.4,-0.81,-0.54,-0.12,1.3,0.56,0.69,-0.28
19990315,0.94,-0.4,-0.33,0.018,0.62,1.15,0.44,0.49,1.31,0.73,0.34,0.08,0.46,1.68,0.57,0.59,1.03,0.08,0.63,-0.18,0.54,0.39,0.58
19990316,-0.15,-0.22,-0.3,0.018,-0.34,0.03,-0.32,-0.37,0.13,-0.31,-0.18,-0.7,-0.25,0.21,-0.03,-0.34,-0.26,0.05,-0.43,-0.74,-0.62,0,-0.68
19990317,-0.55,0.12,0.37,0.018,1.02,-0.8,-0.05,-0.17,-0.93,-0.46,0.08,0.43,-0.32,-1.17,-0.44,-0.33,-0.72,0.31,-0.16,0.59,0.13,-0.48,-0.06
19990318,1.27,-1.18,-0.2,0.018,0.77,1.26,1.45,0.94,1.44,0.67,1.65,1.59,0.96,1.62,1.06,0.63,0.76,1.68,1.61,1.97,0.9,1.03,0.84
19990319,-1.32,0.17,0.81,0.018,-0.2,-1.53,-1.07,-0.47,-1.44,-1.69,-0.89,-0.82,-0.52,-1.11,-2.11,-1.84,-1.38,-0.87,-0.92,-1.06,-0.38,-0.72,-0.18
19990322,-0.33,-0.46,0.33,0.018,-0.05,-0.41,-0.32,0.07,-0.34,-0.38,-0.73,-0.07,0.09,-0.16,-0.71,-0.66,0.21,-0.77,-0.67,-0.12,0.02,0.15,-0.02
19990323,-2.64,0.46,0.88,0.018,-2.59,-2.71,-2.34,-2.12,-2.84,-2.45,-1.89,-2.28,-2.42,-3.04,-2.42,-2.26,-2.85,-1.63,-2.19,-2.69,-1.53,-2.29,-2.63
19990324,0.51,-0.51,-0.26,0.018,-0.18,0.71,0.24,0.4,0.76,0.33,0.41,0.48,0.13,0.72,0.86,0.51,-0.03,0.42,0.4,0.23,0.92,0.03,0.3
19990325,1.78,0.39,-1.02,0.018,1.93,1.94,1.45,1,2.1,1.37,1.64,0.79,1.34,2.59,1.11,1.34,1.41,1.87,1.38,1.04,0.34,1.47,1.11
19990326,-0.5,0.95,-0.33,0.018,0.16,-0.45,-0.51,-0.65,-0.67,0.07,-0.39,-0.77,-0.63,-0.81,-0.37,0.33,-0.48,-0.39,-0.4,-0.81,-0.68,-0.81,-0.33
19990329,1.98,-0.2,-1.75,0.018,1,2.37,1.51,0.39,2.64,1.47,1.75,0.78,0.21,2.86,2.18,1.41,1.59,2,1.47,0.81,0.73,0.34,-0.02
19990330,-0.63,0.62,-0.24,0.018,-0.17,-0.47,-0.9,-1.01,-0.36,-0.92,-0.87,-0.86,-1.11,-0.2,-0.69,-0.89,-0.97,-0.99,-0.73,-0.89,-0.81,-1.48,-0.47
19990331,-0.86,-0.01,0.22,0.018,0.33,-1.15,-0.55,-0.29,-1.24,-0.61,-0.97,-0.37,-0.04,-1.44,-0.81,-0.83,-0.12,-0.84,-1.12,-0.16,-0.77,-0.13,0.11
19990401,0.54,-0.1,-0.02,0.018,1.28,0.7,0.11,0.34,0.79,0.32,-0.23,0.74,0.16,0.75,0.89,0.36,0.24,-0.25,-0.22,0.77,0.68,0.55,-0.5
19990405,1.87,-0.96,-0.56,0.018,0.15,2.07,1.58,1.4,2.15,1.94,1.46,0.98,1.44,2.23,2,1.75,2.36,1.62,1.27,0.79,1.31,1.48,1.39
19990406,-0.26,-0.01,0.13,0.018,0.21,-0.11,-0.73,-0.54,-0.1,-0.25,-0.75,-1.06,-0.2,-0.37,0.44,-0.13,-0.51,-0.73,-0.78,-0.98,-1.2,-0.44,0.22
19990407,0.42,-0.73,-0.22,0.018,-0.91,0.44,0.64,-0.15,0.16,1.19,0.6,0.28,0.15,-0.16,0.81,1.49,0.55,1.01,0.14,0.85,-0.74,0.64,-0.69
19990408,1.27,-0.41,-0.77,0.018,1.4,1.35,1.14,0.47,1.41,1.08,1.36,0.75,0.37,1.4,1.42,1.13,0.99,1.41,1.31,0.8,0.65,0.37,0.38
19990409,0.43,1.25,-0.48,0.018,1.09,0.32,0.6,0.03,0.37,0.29,0.69,0.35,-0.21,0.58,-0.05,0.12,0.66,1,0.35,0.27,0.5,-0.21,-0.21
19990412,0.87,0.24,-0.19,0.018,1.58,0.62,0.99,1.55,0.49,1.05,1.09,0.89,1.77,0.74,-0.01,1.09,0.97,1.23,0.93,0.76,1.12,1.47,2.28
19990413,-0.34,1.96,-0.18,0.018,0.66,-0.69,0.01,0.28,-0.83,-0.15,0.35,-0.56,0.54,-0.75,-1,-0.2,-0.05,0.62,0.03,-0.73,-0.24,0.58,0.46
19990414,-1.43,0.55,1.99,0.018,-0.51,-2.04,0.06,0.5,-2.49,-0.35,-0.07,0.92,0.12,-2.7,-2.05,-0.43,-0.17,0.07,-0.23,0.74,1.25,0.55,-0.61
19990415,-0.39,-0.1,0.85,0.018,-1.02,-0.72,0.71,0.06,-1.05,0.62,0.56,0.65,-0.27,-1.46,-0.19,0.43,1.02,0.86,0.21,0.61,0.72,0.41,-1.45
19990416,-0.23,0.85,1.04,0.018,-0.54,-0.67,0.75,0.71,-0.93,0.23,0.81,1.14,0.69,-0.97,-0.85,0.22,0.25,1.27,0.26,1.36,0.76,0.66,0.74
19990419,-2.48,-1.01,3.78,0.018,-2.15,-3.43,-0.01,0.4,-4.27,-0.25,-0.56,0.64,0.23,-5.52,-1.72,-0.6,0.49,-0.55,-0.56,0.58,0.73,0.37,-0.02
19990420,1.38,-0.12,-1.98,0.018,0.58,2.06,-0.17,0.08,2.55,0.22,-0.31,0.38,-0.1,2.88,1.89,0.47,-0.3,-0.57,0,0.34,0.44,-0.33,0.3
19990421,2.53,0.59,-1.93,0.018,1.97,3.01,1.46,0.66,3.26,1.97,1.58,0.88,0.68,3.54,2.71,2.16,1.57,1.4,1.8,1.02,0.61,0.38,1.21
19990422,1.35,-0.56,-0.89,0.018,0.56,1.71,0.69,0.39,1.84,1.16,0.77,0.16,0.48,1.86,1.81,1.25,0.95,0.3,1.34,0.12,0.22,0.65,0.19
19990423,0.11,0.57,0.16,0.018,1.38,0.09,-0.2,0.69,0.14,-0.19,-0.11,0.12,0.78,0.13,0.16,-0.09,-0.42,-0.02,-0.21,-0.11,0.52,0.9,0.56
19990426,0.44,0.89,-1.24,0.018,0.51,0.78,-0.53,-0.31,0.95,-0.09,-0.42,-0.44,-0.32,1.17,0.51,0.2,-0.71,-0.87,0.11,-0.52,-0.29,-0.16,-0.61
19990427,0.09,-0.07,0.59,0.018,1.1,-0.24,0.93,0.47,-0.5,0.7,0.97,0.91,0.33,-0.81,0.12,0.65,0.82,1.59,0.25,1,0.75,0.32,0.34
19990428,-0.88,-0.11,1.59,0.018,-1.02,-1.37,0.45,0.5,-1.84,0.2,0.56,0.77,0.27,-2.16,-1.21,0.25,0.09,0.67,0.44,0.68,0.94,0.25,0.31
19990429,-0.45,0.36,0.86,0.018,-0.86,-0.8,0.18,0.35,-1.07,0.03,0.25,0.29,0.51,-1.26,-0.68,0.11,-0.13,0.63,-0.19,0.43,0.03,0.46,0.61
19990430,-0.47,0.7,-0.4,0.018,-0.36,-0.35,-0.77,-0.71,-0.26,-0.72,-0.66,-0.7,-0.85,-0.15,-0.47,-0.63,-0.9,-0.77,-0.54,-0.83,-0.46,-1.47,0.25
19990503,1.1,-1.41,0.59,0.017,0.21,0.87,2.16,1.91,0.59,2.1,2.07,1.56,2.11,0.3,1.14,1.8,2.74,2.3,1.79,1.58,1.52,2.19,1.98
19990504,-1.49,0.95,0.44,0.017,-1.11,-1.58,-0.99,-1.11,-1.79,-1.12,-1.07,-0.11,-1.55,-1.63,-2.09,-0.92,-1.54,-1.56,-0.48,-0.04,-0.24,-1.33,-1.94
19990505,1.03,-0.86,-0.16,0.017,0.55,1.19,0.66,0.63,1.28,0.83,0.64,0.61,0.71,1.24,1.35,0.89,0.68,0.59,0.7,0.69,0.48,1.28,-0.3
19990506,-1.15,0.86,1.01,0.017,-0.45,-1.26,-0.99,-0.25,-1.43,-0.87,-1.27,-0.16,-0.19,-1.33,-1.61,-0.72,-1.19,-1.11,-1.46,-0.05,-0.37,-0.23,-0.13
19990507,0.89,-0.51,-0.1,0.017,0.93,0.94,0.87,1.09,0.85,1.16,0.9,0.7,1.21,0.48,1.57,1.23,1,0.36,1.53,0.62,0.86,1.16,1.3
19990510,-0.03,1.2,0.15,0.017,-0.1,-0.12,-0.04,0.44,-0.03,-0.4,0.12,0.2,0.44,0.11,-0.31,-0.4,-0.41,0.29,-0.07,0.07,0.44,0.35,0.61
19990511,1.19,0.07,-0.88,0.017,1.79,1.47,0.83,0.34,1.72,0.72,0.99,0.46,0.18,1.69,1.79,0.63,0.9,1.08,0.89,0.34,0.66,-0.06,0.6
19990512,0.65,0.08,-0.52,0.017,1.94,0.75,0.28,0.4,0.88,0.29,0.42,0.06,0.49,1.06,0.54,0.3,0.26,0.2,0.68,-0.04,0.24,0.13,1.11
19990513,0.23,0.22,0.13,0.017,-0.41,0.11,0.7,-0.01,-0.33,1.33,0.62,0.68,-0.32,-0.38,-0.24,1.56,0.83,0.29,1,0.74,0.59,-0.08,-0.75
19990514,-2.14,0.8,0.52,0.017,-1.51,-2.2,-2.07,-1.68,-2.24,-2.15,-2.1,-1.67,-1.74,-2.35,-2.02,-2.1,-2.27,-1.84,-2.41,-1.73,-1.56,-1.55,-2.09
19990517,0.15,-0.04,-0.74,0.017,-0.96,0.55,-0.38,-0.75,0.69,-0.09,-0.25,-0.27,-1.25,1.18,-0.26,0.08,-0.49,-0.56,0.12,-0.53,0.21,-1.15,-1.42
19990518,-0.4,0.41,0.41,0.017,0.18,-0.45,-0.35,0.4,-0.46,-0.32,-0.53,-0.18,0.61,-0.48,-0.43,-0.42,-0.09,-0.69,-0.34,-0.27,-0.01,0.6,0.63
19990519,0.82,-0.1,-0.2,0.017,1.52,0.86,0.79,0.68,0.93,0.8,0.59,0.78,0.63,0.99,0.8,0.64,1.15,0.53,0.65,0.78,0.77,1.03,-0.07
19990520,-0.36,0.93,0.41,0.017,-0.57,-0.5,-0.06,0.38,-0.64,-0.14,0.14,-0.05,0.5,-0.53,-0.86,-0.05,-0.33,0.19,0.08,-0.17,0.16,0.4,0.67
19990521,-0.57,0.73,0.7,0.017,0.25,-0.87,-0.04,0.3,-1.08,-0.16,0.01,0.09,0.25,-1.18,-0.87,-0.19,-0.09,0.31,-0.34,-0.08,0.37,0.02,0.67
19990524,-1.93,0.06,1.03,0.017,-3.12,-1.97,-1.47,-0.97,-2.01,-1.82,-1.59,-0.88,-0.96,-2.22,-1.58,-1.86,-1.73,-1.28,-1.94,-0.81,-1.01,-1,-0.87
19990525,-1.81,-0.1,1.05,0.017,-1.65,-1.77,-1.62,-0.42,-2.01,-1.21,-1.65,-1.08,-0.47,-2.01,-2,-1,-1.67,-2.3,-0.88,-1.51,-0.31,-0.53,-0.37
19990526,1.41,-1.19,-0.66,0.017,1.24,1.54,1.25,0.38,1.47,1.64,1.39,0.51,0.58,1.41,1.59,1.77,1.34,1.72,1.01,0.79,0,0.72,0.34
19990527,-1.43,1.22,-0.03,0.017,-1.23,-1.41,-1.41,-1.53,-1.17,-1.89,-1.51,-1.26,-1.64,-0.99,-1.54,-2.14,-1.35,-1.28,-1.78,-1.24,-1.31,-1.72,-1.5
19990528,1.53,-0.07,-0.66,0.017,2.59,1.56,1.3,0.81,1.69,1.27,1.15,1.12,0.72,1.8,1.49,1.12,1.63,1.02,1.3,1.21,0.97,0.67,0.81
19990601,-0.8,0.29,0.82,0.018,-0.75,-0.83,-0.66,0.32,-0.85,-0.87,-0.57,-0.21,0.56,-0.81,-0.93,-0.76,-1.12,-0.76,-0.35,-0.25,-0.14,0.48,0.7
19990602,0.13,-0.32,-0.44,0.018,-0.21,0.3,0.14,-0.31,0.31,0.35,0.12,-0.29,-0.4,0.09,0.73,0.26,0.54,0.01,0.26,-0.38,-0.15,-0.35,-0.49
19990603,0.12,-0.24,0.33,0.018,-0.13,0.09,0.27,0.22,0.01,0.37,0.2,0.28,0.07,-0.02,0.08,0.32,0.49,0.2,0.2,0.15,0.49,0.13,-0.04
19990604,2.03,-0.27,-1.62,0.018,1.27,2.61,1.24,0.46,2.91,1.56,1.35,0.72,0.38,3.26,2.22,1.65,1.38,1.19,1.52,0.77,0.61,0.73,-0.24
19990607,0.71,0.22,-0.06,0.018,0.35,0.5,1.02,0.64,0.26,1.27,0.83,1.05,0.53,0.08,0.63,1.28,1.25,0.74,0.94,1.16,0.84,0.49,0.61
19990608,-1.23,0.6,0.42,0.018,-1.52,-1.46,-0.79,-0.82,-1.5,-1.26,-0.9,-0.49,-0.66,-1.79,-0.93,-1.33,-1.09,-0.83,-0.97,-0.13,-1.13,-0.69,-0.6
19990609,0.16,0.71,-0.62,0.018,-0.78,0.29,-0.18,-0.49,0.35,0.05,-0.19,-0.27,-0.59,0.55,-0.05,0.12,-0.1,-0.49,0.16,-0.26,-0.29,-0.21,-1.26
19990610,-1.2,0.47,0.57,0.018,-1.31,-1.43,-0.68,-0.64,-1.67,-0.67,-0.79,-0.5,-0.6,-2.22,-0.59,-0.65,-0.72,-0.83,-0.74,-0.39,-0.71,-0.46,-0.84
19990611,-0.8,-0.03,0.33,0.018,-1.09,-0.88,-0.56,-0.38,-0.92,-0.72,-0.47,-0.39,-0.62,-1.08,-0.62,-0.75,-0.65,-0.47,-0.47,-0.65,0.08,-0.58,-0.71
19990614,-0.49,-1.26,1.02,0.018,-0.79,-0.49,0.18,0.35,-0.83,0.41,0.33,0.16,0.26,-1.26,0.02,0.55,0.09,0.16,0.53,-0.02,0.5,0.7,-0.53
19990615,0.52,-0.42,-0.02,0.018,1.1,0.58,0.52,0.32,0.59,0.62,0.5,0.47,0.05,0.68,0.42,0.57,0.72,0.59,0.41,0.28,0.82,0.45,-0.67
19990616,2.26,-0.6,-1.06,0.018,1.8,2.63,1.38,1.33,2.93,1.6,1.44,1.08,1.58,3.11,2.57,1.7,1.4,1.08,1.85,1.21,0.86,1.19,2.29
19990617,0.72,0.09,-0.74,0.018,0.65,0.81,0.59,-0.3,0.93,0.65,0.43,0.1,-0.33,1.41,0.01,0.45,1.09,0.34,0.53,0.28,-0.23,-0.62,0.19
19990618,0.22,0.38,-0.13,0.018,0.25,0.11,0.34,0.13,0.05,0.24,0.58,0.03,0.23,0.3,-0.44,0.29,0.14,0.5,0.67,0.08,-0.06,0.33,0.05
19990621,0.63,0.78,-0.72,0.018,0.2,0.81,0.25,-0.02,0.92,0.38,0.44,-0.13,0.05,1.02,0.74,0.47,0.2,0.35,0.55,-0.12,-0.16,-0.19,0.48
19990622,-0.93,0.6,0.3,0.018,-0.41,-0.94,-0.89,-0.51,-0.94,-0.85,-1.09,-0.66,-0.61,-1.1,-0.62,-0.96,-0.59,-1.07,-1.12,-0.85,-0.33,-0.5,-0.81
19990623,-0.14,0.25,-0.22,0.018,0.48,-0.03,-0.28,-0.33,0.05,-0.28,-0.32,-0.2,-0.47,0.24,-0.32,-0.3,-0.23,-0.19,-0.47,-0.27,-0.08,-0.54,-0.35
19990624,-1.31,0.58,0.59,0.018,-0.82,-1.28,-1.36,-0.48,-1.14,-1.7,-1.24,-1.04,-0.31,-0.74,-1.92,-1.72,-1.68,-1.32,-1.14,-1.18,-0.79,-0.49,0
19990625,-0.06,0.17,-0.06,0.018,-0.47,-0.08,0.23,-0.13,-0.17,0.29,0.06,0.08,-0.06,-0.41,0.33,0.21,0.47,0.18,-0.08,0.27,-0.25,-0.13,0.06
19990628,1.23,0.16,-0.24,0.018,1.25,1.34,1,0.79,1.46,0.91,1.1,1.05,0.63,1.36,1.68,0.96,0.81,1.14,1.06,1.03,1.08,0.79,0.35
19990629,1.49,-0.05,-0.93,0.018,1.1,1.82,0.82,0.6,1.86,1.57,0.59,0.55,0.7,1.87,1.83,1.68,1.34,0.99,0.13,0.63,0.4,0.41,1.21
19990630,1.6,1.01,-1.48,0.018,1.21,2.16,0.24,0.73,2.18,1.52,0.44,-0.07,1.12,2.28,1.96,2.13,0.18,1.09,-0.32,-0.11,0,0.6,2.04
19990701,0.55,-0.85,-0.2,0.018,0.09,0.64,0.63,0.28,0.58,0.73,0.84,0.41,0.27,0.59,0.54,0.92,0.43,0.77,0.93,0.49,0.28,0.61,-0.52
19990702,0.73,-0.03,-0.48,0.018,1.48,0.8,0.4,0.4,0.85,0.47,0.36,0.62,0.39,1.09,0.2,0.58,0.3,0.36,0.37,0.75,0.42,0.46,0.22
19990706,-0.08,0.06,0.14,0.018,0.3,-0.22,0.22,0.18,-0.2,-0.07,-0.05,0.41,0.58,-0.29,0.05,-0.3,0.29,-0.09,-0.01,0.86,-0.35,0.66,0.41
19990707,0.22,-0.57,-0.19,0.018,0.1,0.41,-0.05,-0.41,0.53,-0.17,-0.05,0.04,-0.65,0.54,0.51,-0.19,-0.14,0.02,-0.12,0.12,-0.09,-0.66,-0.61
19990708,0.03,0.68,-0.54,0.018,1.11,0.16,-0.22,-0.42,0.09,0.19,-0.24,-0.2,-0.45,0.11,0.02,0.49,-0.27,-0.26,-0.22,-0.09,-0.38,-0.68,0.09
19990709,0.54,0.53,-0.43,0.018,0.56,0.65,0.3,0.38,0.7,0.45,0.32,0.09,0.31,0.76,0.53,0.44,0.48,0.31,0.33,-0.14,0.48,0.06,0.88
19990712,-0.24,0.53,0.19,0.018,0.99,-0.31,-0.15,0.27,-0.3,-0.33,-0.11,0.17,0.2,-0.39,-0.06,-0.36,-0.3,-0.1,-0.13,0.06,0.36,0.4,-0.26
19990713,-0.39,0.33,-0.02,0.018,0.34,-0.3,-0.65,-0.34,-0.31,-0.44,-0.64,-0.44,-0.37,-0.18,-0.66,-0.26,-0.71,-0.81,-0.45,-0.52,-0.3,-0.53,-0.01
19990714,0.46,0.44,-0.65,0.018,0.48,0.55,0.17,0.21,0.69,-0.08,0.15,0.48,0.04,0.93,0.04,-0.15,0.04,0.16,0.14,0.51,0.41,0.05,0.02
19990715,0.83,0.26,-0.64,0.018,1.49,0.93,0.5,0.38,1,0.65,0.59,-0.05,0.54,0.91,1.25,0.61,0.7,0.82,0.33,-0.18,0.18,0.37,0.94
19990716,0.48,-0.44,-0.07,0.018,0.86,0.63,0.22,0.2,0.69,0.27,0.25,0.21,0.17,0.63,0.85,0.33,0.19,0.25,0.25,0.2,0.24,0.32,-0.19
19990719,-0.82,0.06,0.62,0.018,-1.4,-0.98,-0.25,-0.31,-1.03,-0.41,-0.48,-0.19,-0.56,-1.2,-0.58,-0.73,0.07,-0.6,-0.35,-0.32,0.02,-0.62,-0.42
19990720,-2.22,0.13,1.07,0.018,-2.07,-2.53,-1.18,-1.2,-2.68,-1.65,-1.2,-0.85,-1.12,-3.02,-1.73,-1.78,-1.45,-1.16,-1.24,-0.58,-1.29,-1.12,-1.11
19990721,0.27,0.2,-0.55,0.018,-0.64,0.54,-0.33,-0.13,0.58,0.07,-0.33,-0.26,0.02,0.56,0.61,0.37,-0.38,-0.44,-0.21,-0.21,-0.33,0.11,-0.2
19990722,-1.33,0.05,0.94,0.018,-2.44,-1.68,-0.13,-0.33,-1.82,-0.67,-0.12,-0.05,-0.48,-2.04,-1.24,-0.98,-0.2,-0.16,-0.08,0.01,-0.14,-0.61,-0.19
19990723,-0.32,-0.23,0.02,0.018,-0.78,-0.19,-0.62,-0.45,-0.15,-0.55,-0.6,-0.31,-0.57,-0.2,-0.03,-0.39,-0.8,-0.58,-0.62,-0.32,-0.3,-0.51,-0.69
19990726,-1.02,-0.59,0.82,0.018,-0.73,-1.15,-0.25,-0.55,-1.22,-0.52,-0.18,-0.72,-0.39,-1.47,-0.57,-0.78,-0.11,-0.03,-0.36,-0.7,-0.75,-0.33,-0.54
19990727,1.12,-0.36,-0.74,0.018,1.62,1.37,0.59,0.45,1.37,1.07,0.47,0.65,0.43,1.42,1.24,1.35,0.66,0.45,0.49,0.76,0.46,0.32,0.69
19990728,0.15,0.31,-0.44,0.018,-0.82,0.3,-0.22,-0.34,0.36,-0.06,-0.25,-0.42,-0.12,0.44,0.16,0,-0.15,-0.48,0.02,-0.3,-0.65,-0.1,-0.16
19990729,-1.75,0.71,0.48,0.018,-2.26,-1.86,-1.39,-1.29,-1.95,-1.47,-1.42,-1.15,-1.33,-2.11,-1.52,-1.46,-1.48,-1.42,-1.41,-1.1,-1.24,-1.47,-1
19990730,-0.72,1.55,-0.19,0.018,-0.37,-0.69,-0.91,-0.35,-0.69,-0.92,-0.8,-0.46,-0.36,-0.65,-0.77,-0.72,-1.22,-0.64,-0.99,-0.53,-0.33,-0.74,0.52
19990802,-0.27,-0.54,0.52,0.018,-1.14,-0.28,-0.01,0.32,-0.29,-0.23,0.25,0.09,0.09,-0.36,-0.1,-0.21,-0.25,0.04,0.49,-0.21,0.64,0.3,-0.39
19990803,-0.79,-0.75,0.5,0.018,-1.45,-0.73,-0.43,-0.69,-0.74,-0.55,-0.48,-0.56,-0.73,-0.77,-0.66,-0.69,-0.34,-0.62,-0.32,-0.52,-0.63,-0.51,-1.25
19990804,-1.45,-0.46,1.25,0.018,-3.47,-1.53,-0.87,-0.47,-1.59,-1.1,-1.08,-0.4,-0.45,-1.73,-1.2,-1.26,-0.84,-1.4,-0.72,-0.35,-0.48,-0.36,-0.66
19990805,0.63,-0.66,-0.45,0.018,-0.11,0.84,0.18,-0.16,0.91,0.38,0.14,0.2,-0.37,0.84,1.1,0.5,0.19,0.15,0.13,0.25,0.12,-0.22,-0.73
19990806,-1,0.82,0.14,0.018,0.22,-1.02,-1.01,-0.61,-0.95,-1.39,-0.83,-0.66,-0.61,-1,-0.83,-1.38,-1.41,-0.96,-0.69,-0.68,-0.62,-0.71,-0.36
19990809,-0.41,-0.5,0.85,0.018,-1.34,-0.57,0.23,0.23,-0.57,-0.28,0.55,-0.37,0.52,-0.69,-0.25,-0.57,0.18,0.65,0.43,-0.49,-0.14,0.64,0.22
19990810,-1.16,0.37,0.05,0.018,-2.42,-1.11,-1.17,-1.06,-1.02,-1.48,-1.23,-0.83,-1,-0.83,-1.5,-1.57,-1.34,-1.37,-1.08,-0.64,-1.15,-0.87,-1.3
19990811,1.63,-0.64,-0.23,0.018,1.87,1.63,1.41,1.37,1.59,1.79,1.13,1.4,1.61,1.87,0.86,1.86,1.68,1.05,1.23,1.6,1.04,1.8,1.17
19990812,-0.14,0.3,0.11,0.018,2.36,-0.3,-0.15,0.13,-0.22,-0.39,-0.2,-0.1,-0.03,-0.09,-0.58,-0.66,0.02,-0.19,-0.22,-0.36,0.35,-0.2,0.36
19990813,2.21,-0.95,-0.97,0.018,1.86,2.46,1.55,1.08,2.49,2.39,1.28,0.55,1.17,2.65,2.07,2.33,2.49,1.51,1.03,0.31,0.97,1.35,0.75
19990816,0.26,0,-0.53,0.018,0.83,0.45,-0.22,-0.33,0.55,-0.07,-0.2,-0.36,-0.55,0.64,0.32,-0.05,-0.1,-0.37,-0.01,-0.54,-0.04,-0.67,-0.26
19990817,0.97,-0.61,-0.29,0.018,0.77,0.95,1.13,0.57,0.84,1.49,1.24,0.19,0.77,0.86,0.8,1.51,1.46,1.56,0.88,0.13,0.3,0.96,0.32
19990818,-0.75,0.38,-0.21,0.018,-0.78,-0.81,-0.45,-0.84,-0.89,-0.45,-0.34,-0.75,-0.73,-0.83,-1.04,-0.4,-0.52,-0.38,-0.29,-0.62,-0.98,-0.82,-0.51
19990819,-0.78,0.63,0.68,0.018,0.11,-0.88,-0.48,0.14,-0.91,-0.81,-0.39,0.22,0.06,-0.84,-1.08,-0.75,-0.91,-0.4,-0.38,0.21,0.24,0.04,0.1
19990820,0.89,-0.31,-0.44,0.018,-0.63,1.06,0.67,0.23,1.14,0.54,0.91,0.35,0.47,1.43,0.35,0.65,0.39,0.83,1.01,0.61,-0.09,0.3,0.87
19990823,1.76,-0.95,-0.88,0.018,1.79,1.99,1.16,0.74,2.06,1.61,1.02,0.68,0.66,2.33,1.35,1.62,1.6,1.06,0.98,0.59,0.86,0.84,0.23
19990824,0.18,-0.02,-0.37,0.018,-0.81,0.36,-0.29,-0.2,0.32,0.31,-0.35,-0.34,-0.23,0.44,-0.01,0.6,-0.14,-0.11,-0.62,-0.44,-0.17,-0.19,-0.32
19990825,1.21,-0.14,-1.49,0.018,1.35,1.83,-0.5,-0.33,2.12,-0.36,0.1,-0.27,-0.09,2.4,1.35,0.36,-1.46,0.45,-0.3,-0.05,-0.65,0.11,-0.55
19990826,-1.18,0.89,0.27,0.018,-0.52,-1.32,-1.11,-0.5,-1.28,-1.44,-1.06,-0.81,-0.27,-1.4,-0.92,-1.52,-1.31,-1.26,-0.83,-0.81,-0.81,-0.41,0.08
19990827,-0.99,0.46,0.39,0.018,-0.89,-1.12,-0.55,-0.53,-1.14,-0.96,-0.5,-0.18,-0.55,-1.05,-1.37,-1.01,-0.88,-0.53,-0.46,-0.01,-0.5,-0.65,-0.31
19990830,-1.78,1.03,-0.08,0.018,-1.94,-1.69,-2,-1.58,-1.53,-2.49,-1.95,-1.31,-1.64,-1.41,-1.87,-2.51,-2.46,-2.34,-1.5,-1.2,-1.5,-1.82,-1.22
19990831,-0.17,0.27,-0.13,0.018,0.84,-0.24,-0.19,-0.12,-0.21,-0.24,-0.27,-0.37,0.08,-0.2,-0.22,-0.39,-0.02,-0.4,-0.12,-0.35,-0.4,0.09,0.06
